OperationName,File,Category,WASM_Priority,WASM_Rationale
a,AffineCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
JA4Fingerprint,JA4Fingerprint.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
JA4ServerFingerprint,JA4ServerFingerprint.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
JavaScriptMinify,JavaScriptMinify.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
JPathExpression,JPathExpression.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Jq,Jq.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
JsonataQuery,Jsonata.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
JSONBeautify,JSONBeautify.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
JSONMinify,JSONMinify.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
JSONToCSV,JSONToCSV.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
JSONtoYAML,JSONtoYAML.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
JWTDecode,JWTDecode.mjs,crypto/hash,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
JWTSign,JWTSign.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
JWTVerify,JWTVerify.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,ADD.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,AESDecrypt.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
Key,AESEncrypt.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
Key,AND.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,BlowfishDecrypt.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,BlowfishEncrypt.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,CMAC.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,ChaCha.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
Key,DESDecrypt.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,DESEncrypt.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,FernetDecrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,FernetEncrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,HMAC.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,OR.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,RC2Decrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,RC2Encrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,Rabbit.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,SM4Decrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,SM4Encrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,SUB.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,Salsa20.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,TripleDESDecrypt.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,TripleDESEncrypt.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,VigenèreDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Key,VigenèreEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Key,XOR.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,XSalsa20.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,XXTEADecrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key,XXTEAEncrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key (KEK),AESKeyUnwrap.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
Key (KEK),AESKeyWrap.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
Key length,XORBruteForce.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Key type,GeneratePGPKeyPair.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Keyword,BifidCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Keyword,BifidCipherEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Label name,Jump.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Language,SyntaxHighlighter.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Length,GenerateLoremIpsum.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Letter delimiter,FromMorseCode.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
LevenshteinDistance,LevenshteinDistance.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
LMHash,LMHash.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Location info,JavaScriptParser.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Lorenz,Lorenz.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
LS47Decrypt,LS47Decrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
LS47Encrypt,LS47Encrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
LZ4Compress,LZ4Compress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
LZ4Decompress,LZ4Decompress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
LZMACompress,LZMACompress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
LZMADecompress,LZMADecompress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
LZNT1Decompress,LZNT1Decompress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
LZStringCompress,LZStringCompress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
LZStringDecompress,LZStringDecompress.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Match (regex),ConditionalJump.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
MD2,MD2.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
MD4,MD4.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
MD5,MD5.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Merge,Merge.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Method,HTTPRequest.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
MicrosoftScriptDecoder,MicrosoftScriptDecoder.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
MIMEDecoding,MIMEDecoding.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
MurmurHash3,MurmurHash3.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Name,GenerateHOTP.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Name,GenerateTOTP.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Name,Label.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
NormaliseImage,NormaliseImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
NormaliseUnicode,NormaliseUnicode.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
NOT,NOT.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
NTHash,NTHash.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Number of bytes,PseudoRandomNumberGenerator.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Numberwang,Numberwang.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ObjectIdentifierToHex,ObjectIdentifierToHex.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Offset,AddLineNumbers.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Offset,DecodeNetBIOSName.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Offset,EncodeNetBIOSName.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
OpticalCharacterRecognition,OpticalCharacterRecognition.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Output case,FormatMACAddresses.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Output Format,SM2Encrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Output units,WindowsFiletimeToUNIXTimestamp.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Output valid JSON,PHPDeserialize.mjs,crypto/hash,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
ParseColourCode,ParseColourCode.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseIPv6Address,ParseIPv6Address.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseObjectIDTimestamp,ParseObjectIDTimestamp.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseQRCode,ParseQRCode.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseSSHHostKey,ParseSSHHostKey.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseTCP,ParseTCP.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseTLSRecord,ParseTLSRecord.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseTLV,ParseTLV.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseUDP,ParseUDP.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseUNIXFilePermissions,ParseUNIXFilePermissions.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseURI,ParseURI.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ParseUserAgent,ParseUserAgent.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Passphrase,DeriveEVPKey.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
Passphrase,DerivePBKDF2Key.mjs,crypto/hash,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
Passphrase,RC4.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Passphrase,RC4Drop.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
PEMToHex,PEMToHex.mjs,encoding/cipher,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
PEMToJWK,JWKToPem.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
PEMToJWK,PEMToJWK.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
PHPSerialize,PHPSerialize.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Plaintext,Substitute.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
PlistViewer,PLISTViewer.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Position,PadLines.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
PowerSet,PowerSet.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Prefix,EscapeUnicodeCharacters.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Prefix,UnescapeUnicodeCharacters.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Preserve comments,CSSMinify.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Preserve comments,XMLMinify.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
Private key of recipient,PGPDecrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Private key of signer,PGPEncryptAndSign.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ProtobufDecode,ProtobufDecode.mjs,encoding/cipher,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
ProtobufEncode,ProtobufEncode.mjs,encoding/cipher,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
PubKeyFromCert,PubKeyFromCert.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
PubKeyFromPrivKey,PubKeyFromPrivKey.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Public key of recipient,PGPEncrypt.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Public key of signer,PGPDecryptAndVerify.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Public key of signer,PGPVerify.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Radix,FromBase.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Radix,LuhnChecksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Radix,ToBase.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
RailFenceCipherDecode,RailFenceCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
RailFenceCipherEncode,RailFenceCipherEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
RAKE,RAKE.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RandomizeColourPalette,RandomizeColourPalette.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RawDeflate,RawDeflate.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
RawInflate,RawInflate.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Remove indentation,StripHTMLTags.mjs,parsing/format,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
RemoveDiacritics,RemoveDiacritics.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RemoveEXIF,RemoveEXIF.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RemoveLineNumbers,RemoveLineNumbers.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RemoveNullBytes,RemoveNullBytes.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RenderMarkdown,RenderMarkdown.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
ResizeImage,ResizeImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Return,Return.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RisonDecode,RisonDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
RisonEncode,RisonEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ROT13,ROT13.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ROT13BruteForce,ROT13BruteForce.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ROT47,ROT47.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ROT47BruteForce,ROT47BruteForce.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ROT8000,ROT8000.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RotateImage,RotateImage.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RotateLeft,RotateLeft.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
RotateRight,RotateRight.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Rounds,Bcrypt.mjs,crypto/hash,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
RSADecrypt,RSADecrypt.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
RSAEncrypt,RSAEncrypt.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
RSASign,RSASign.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
RSAVerify,RSAVerify.mjs,crypto/hash,Medium,Crypto: preferuj WebCrypto; WASM przydatny dla algorytmów poza WebCrypto lub bulk/streaming.
Salt,Argon2.mjs,crypto/hash,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
Salt,DeriveHKDFKey.mjs,parsing/format,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
Salt,Scrypt.mjs,crypto/hash,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
Sample delimiter,Diff.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Sample delimiter,OffsetChecker.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ScanForEmbeddedFiles,ScanForEmbeddedFiles.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ScatterChart,ScatterChart.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Scheme,FromBCD.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Scheme,ToBCD.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Scope,ToUpperCase.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Search string,CountOccurrences.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Section (regex),Subsection.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SeriesChart,SeriesChart.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SetDifference,SetDifference.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SetIntersection,SetIntersection.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SetUnion,SetUnion.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SHA0,SHA0.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
SHA1,SHA1.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
SHA2,SHA2.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
SharpenImage,SharpenImage.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Show 0%s,FrequencyDistribution.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
ShowBase64Offsets,ShowBase64Offsets.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
ShowOnMap,ShowOnMap.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Shuffle,Shuffle.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Sigaba,SIGABA.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Size,BLAKE2b.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Size,BLAKE2s.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Size,Keccak.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Size,MD6.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Size,RIPEMD.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Size,SHA3.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
Size (bytes),BLAKE3.mjs,crypto/hash,Medium,Hash: WebCrypto gdy dostępne; WASM ma sens dla dużych danych lub brakujących algorytmów.
SM3,SM3.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Snefru,Snefru.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Spaces,RemoveWhitespace.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Split delimiter,Fork.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Split delimiter,Split.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SplitColourChannels,SplitColourChannels.mjs,text/transform,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SQLMinify,SQLMinify.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
SSDEEP,SSDEEP.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Standard Enigmas,MultipleBombe.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Start,DropBytes.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Start,TakeBytes.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Starting index,ParseASN1HexString.mjs,compression,High,Kompresja/dekompresja to typowy hot path CPU; duży zysk z WASM (Rust).
Strings,Strings.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
StripHTTPHeaders,StripHTTPHeaders.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
StripIPv4Header,StripIPv4Header.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
StripTCPHeader,StripTCPHeader.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
StripUDPHeader,StripUDPHeader.mjs,parsing/format,Medium,Parsery binarne (ASN.1/DER/X.509/PKCS) mogą zyskać na WASM przy dużych wejściach.
